unit;month;geo;year;value
NR;M01;CH;1961;4751
NR;M01;CH;1960;5291
NR;M01;CY;2019;694
NR;M01;CY;2018;543
NR;M01;CY;2017;709
NR;M01;CY;2016;529
NR;M01;CY;2015;641
NR;M01;CY;2014;559
NR;M01;CY;2013;499
NR;M01;CY;2012;561
NR;M01;CY;2011;526
NR;M01;CY;2010;469
NR;M01;CY;2009;525
NR;M01;CY;2008;519
NR;M01;CY;2007;629
NR;M01;CY;2006;498
NR;M01;CY;2005;537
NR;M01;CY;2004;543
NR;M01;CY;2003;470
NR;M01;CY;2002;520
NR;M01;CY;2001;447
NR;M01;CY;2000;618
NR;M01;CY;1999;480
NR;M01;CY;1998;448
NR;M01;CY;1997;NA
NR;M01;CY;1996;536
NR;M01;CY;1995;NA
NR;M01;CY;1994;NA
NR;M01;CY;1993;NA
NR;M01;CY;1992;NA
NR;M01;CY;1991;NA
NR;M01;CY;1990;NA
NR;M01;CY;1989;NA
NR;M01;CY;1988;NA
NR;M01;CY;1987;NA
NR;M01;CY;1986;NA
NR;M01;CY;1985;NA
NR;M01;CY;1984;NA
NR;M01;CY;1983;NA
NR;M01;CY;1982;NA
NR;M01;CY;1981;NA
NR;M01;CY;1980;NA
NR;M01;CY;1979;NA
NR;M01;CY;1978;NA
NR;M01;CY;1977;NA
NR;M01;CY;1976;NA
NR;M01;CY;1975;NA
NR;M01;CY;1974;NA
NR;M01;CY;1973;NA
NR;M01;CY;1972;NA
NR;M01;CY;1971;NA
NR;M01;CY;1970;NA
NR;M01;CY;1969;NA
NR;M01;CY;1968;NA
NR;M01;CY;1967;NA
NR;M01;CY;1966;NA
NR;M01;CY;1965;NA
NR;M01;CY;1964;NA
NR;M01;CY;1963;NA
NR;M01;CY;1962;NA
NR;M01;CY;1961;NA
NR;M01;CY;1960;NA
NR;M01;CZ;2019;10400
NR;M01;CZ;2018;9639
NR;M01;CZ;2017;12359
NR;M01;CZ;2016;9516
NR;M01;CZ;2015;10893
NR;M01;CZ;2014;9127
NR;M01;CZ;2013;10357
NR;M01;CZ;2012;9625
NR;M01;CZ;2011;9569
NR;M01;CZ;2010;9450
NR;M01;CZ;2009;10097
NR;M01;CZ;2008;9628
NR;M01;CZ;2007;9605
NR;M01;CZ;2006;9407
NR;M01;CZ;2005;9568
NR;M01;CZ;2004;10152
NR;M01;CZ;2003;10291
NR;M01;CZ;2002;9768
NR;M01;CZ;2001;9675
NR;M01;CZ;2000;12292
NR;M01;CZ;1999;10634
NR;M01;CZ;1998;9408
NR;M01;CZ;1997;10708
NR;M01;CZ;1996;11094
NR;M01;CZ;1995;9808
NR;M01;CZ;1994;NA
NR;M01;CZ;1993;NA
NR;M01;CZ;1992;NA
NR;M01;CZ;1991;NA
NR;M01;CZ;1990;NA
NR;M01;CZ;1989;NA
NR;M01;CZ;1988;NA
NR;M01;CZ;1987;NA
NR;M01;CZ;1986;NA
NR;M01;CZ;1985;NA
NR;M01;CZ;1984;NA
NR;M01;CZ;1983;NA
NR;M01;CZ;1982;NA
NR;M01;CZ;1981;NA
NR;M01;CZ;1980;NA
NR;M01;CZ;1979;NA
NR;M01;CZ;1978;NA
NR;M01;CZ;1977;NA
NR;M01;CZ;1976;NA
NR;M01;CZ;1975;NA
NR;M01;CZ;1974;NA
NR;M01;CZ;1973;NA
NR;M01;CZ;1972;NA
NR;M01;CZ;1971;NA
NR;M01;CZ;1970;NA
NR;M01;CZ;1969;NA
NR;M01;CZ;1968;NA
NR;M01;CZ;1967;NA
NR;M01;CZ;1966;NA
NR;M01;CZ;1965;NA
NR;M01;CZ;1964;NA
NR;M01;CZ;1963;NA
NR;M01;CZ;1962;NA
NR;M01;CZ;1961;NA
NR;M01;CZ;1960;NA
NR;M01;DE;2019;NA
NR;M01;DE;2018;84973
NR;M01;DE;2017;96033
NR;M01;DE;2016;81742
NR;M01;DE;2015;86585
NR;M01;DE;2014;75520
NR;M01;DE;2013;82262
NR;M01;DE;2012;76895
NR;M01;DE;2011;76780
NR;M01;DE;2010;77390
NR;M01;DE;2009;90026
NR;M01;DE;2008;79537
NR;M01;DE;2007;72665
NR;M01;DE;2006;74230
NR;M01;DE;2005;73561
NR;M01;DE;2004;75332
NR;M01;DE;2003;79116
NR;M01;DE;2002;69682
NR;M01;DE;2001;74828
NR;M01;DE;2000;83841
NR;M01;DE;1999;78743
NR;M01;DE;1998;74667
NR;M01;DE;1997;83490
NR;M01;DE;1996;94684
NR;M01;DE;1995;79171
NR;M01;DE;1994;82514
NR;M01;DE;1993;81535
NR;M01;DE;1992;81761
NR;M01;DE;1991;80593
NR;M01;DE;1990;NA
NR;M01;DE;1989;NA
NR;M01;DE;1988;NA
NR;M01;DE;1987;NA
NR;M01;DE;1986;NA
NR;M01;DE;1985;NA
NR;M01;DE;1984;NA
NR;M01;DE;1983;NA
NR;M01;DE;1982;NA
NR;M01;DE;1981;NA
NR;M01;DE;1980;NA
NR;M01;DE;1979;NA
NR;M01;DE;1978;NA
NR;M01;DE;1977;NA
NR;M01;DE;1976;NA
NR;M01;DE;1975;NA
NR;M01;DE;1974;NA
NR;M01;DE;1973;NA
NR;M01;DE;1972;NA
NR;M01;DE;1971;NA
NR;M01;DE;1970;NA
NR;M01;DE;1969;NA
NR;M01;DE;1968;NA
NR;M01;DE;1967;NA
NR;M01;DE;1966;NA
NR;M01;DE;1965;NA
NR;M01;DE;1964;NA
NR;M01;DE;1963;NA
NR;M01;DE;1962;NA
NR;M01;DE;1961;NA
NR;M01;DE;1960;NA
NR;M01;DE_TOT;2019;83022
NR;M01;DE_TOT;2018;84973
NR;M01;DE_TOT;2017;96033
NR;M01;DE_TOT;2016;81742
NR;M01;DE_TOT;2015;86585
